total_flights,cancelled_flights,season_cancelled,cancel_label
65,4,2,0
59,4,2,0
128,12,3,0
3,0,2,0
97,0,1,0
125,6,2,0
140,10,1,0
120,11,3,0
85,7,3,1
4,0,1,0
100,10,0,0
71,0,1,0
34,3,0,1
48,3,2,0
2,0,1,0
149,13,3,0
8,0,2,0
44,4,2,0
127,12,3,0
100,0,3,0
79,1,2,0
65,1,1,0
125,5,3,0
124,0,2,0
115,7,1,0
133,4,2,0
70,1,1,0
14,0,2,0
10,0,0,0
99,0,2,0
58,5,1,0
8,0,1,0
33,2,3,0
120,11,2,1
137,13,3,0
142,5,0,0
116,2,1,0
129,0,2,0
98,2,3,0
27,2,0,0
24,1,3,0
144,0,0,0
60,5,2,0
54,4,1,0
37,1,3,0
8,0,2,0
91,2,2,0
100,6,2,0
68,5,3,0
113,0,1,0
120,11,3,0
78,0,1,0
36,2,2,0
126,2,1,0
48,1,3,0
26,1,1,0
139,11,2,0
89,3,3,0
7,0,1,0
49,3,0,0
79,6,2,0
64,2,0,0
150,4,2,0
59,4,2,0
67,2,2,0
36,1,0,0
99,0,1,0
147,1,3,0
56,0,1,0
107,1,3,0
101,3,2,0
11,1,2,0
43,1,1,0
50,4,3,0
20,1,0,0
99,5,0,0
84,2,3,0
141,9,2,0
79,2,2,0
129,4,1,0
40,1,3,0
144,7,2,0
46,1,1,0
147,0,2,0
80,3,1,0
87,4,2,0
127,12,2,0
3,0,1,0
27,1,0,0
133,1,0,0
90,7,0,0
26,0,0,0
68,2,0,0
6,0,3,0
76,5,1,0
94,2,2,0
87,7,2,1
74,1,2,0
26,2,2,0
29,0,3,0
16,0,0,0
118,10,3,0
109,4,3,0
122,10,3,0
41,2,0,0
55,4,3,0
21,2,3,0
12,1,1,0
78,3,2,0
36,0,0,0
66,2,2,0
115,8,3,0
140,8,1,0
124,5,1,0
77,4,2,0
129,5,3,0
110,7,2,0
39,1,3,0
104,10,2,0
44,0,2,0
69,4,3,0
13,1,2,0
39,0,0,0
41,4,1,0
78,0,3,0
104,2,0,0
11,1,1,1
129,8,3,0
52,4,2,1
96,6,3,0
102,2,3,0
27,0,0,0
54,1,1,0
95,2,1,0
55,4,3,0
125,10,2,0
60,0,2,0
89,2,3,0
34,2,1,0
96,4,3,0
10,0,3,0
19,1,3,0
89,8,3,0
59,0,0,0
22,1,1,0
142,2,0,0
26,1,1,0
139,0,1,0
140,10,3,1
19,0,1,0
105,9,3,1
149,5,2,0
113,5,1,0
124,12,2,1
8,0,0,0
67,6,2,0
17,1,0,0
121,8,0,0
135,13,0,1
